,Country,LifeExpectancy,Alcohol,HappinessScore
0,Albania,75.15624999999999,4.84875,4.655
1,Angola,48.79333333333333,5.740666666666666,3.866
2,Argentina,75.07999999999998,7.966666666666667,6.65
3,Armenia,73.30666666666667,3.7026666666666666,4.36
4,Australia,81.74666666666667,10.155333333333333,7.313
5,Austria,81.47999999999998,12.235999999999999,7.119
6,Azerbaijan,70.59999999999998,0.9919999999999999,5.291
7,Bahrain,75.64666666666668,1.9346666666666663,6.218
8,Belarus,69.74666666666668,13.497333333333332,5.8020000000000005
9,Belgium,80.65333333333332,11.042666666666666,6.928999999999999
10,Belize,69.15333333333335,6.252666666666668,5.956
11,Benin,57.406666666666666,1.0,3.484
12,Bosnia and Herzegovina,75.87333333333332,4.405333333333333,5.162999999999999
13,Botswana,55.406666666666666,4.67,3.9739999999999998
14,Brazil,73.27333333333333,7.213333333333333,6.952000000000001
15,Bulgaria,72.74000000000001,10.865333333333332,4.217
16,Burkina Faso,55.36,4.241333333333333,3.739
17,Cambodia,64.05333333333334,1.4860000000000002,3.907
18,Cameroon,53.8,4.141333333333334,4.513
19,Canada,81.65333333333334,8.053333333333333,7.404
20,Chad,50.20666666666667,0.41133333333333333,3.763
21,Chile,79.07999999999998,6.978,6.705
22,China,74.14000000000001,4.182000000000001,5.245
23,Colombia,73.18666666666668,4.419333333333333,6.481
24,Comoros,61.45333333333334,0.13466666666666666,3.9560000000000004
25,Costa Rica,78.52666666666667,3.924666666666667,7.087000000000001
26,Croatia,75.99333333333334,12.448000000000002,5.4879999999999995
27,Cyprus,79.32,10.260666666666667,5.546
28,Denmark,78.80666666666666,10.707999999999998,7.526
29,Dominican Republic,72.24,6.030666666666666,5.155
30,Ecuador,74.62666666666668,3.8073333333333332,5.976
31,Egypt,71.0,0.18866666666666668,4.362
32,El Salvador,71.62666666666668,2.6926666666666668,6.068
33,Estonia,74.76666666666667,9.014666666666665,5.517
34,Finland,80.68666666666667,9.552666666666669,7.412999999999999
35,France,82.20666666666666,12.40466666666667,6.478
36,Gabon,61.99333333333334,7.8773333333333335,4.121
37,Georgia,73.44666666666667,5.623333333333334,4.252
38,Germany,81.18666666666667,11.628666666666668,6.994
39,Ghana,60.76,1.2686666666666666,4.276
40,Greece,81.23333333333333,8.803333333333333,5.033
41,Guatemala,71.72,2.268666666666667,6.324
42,Haiti,59.62666666666667,5.486,4.0280000000000005
43,Honduras,72.88666666666667,3.0420000000000003,4.871
44,Hungary,73.69333333333333,11.427333333333333,5.145
45,Iceland,82.42666666666666,7.466,7.501
